Chr	Start	End	CytoBand	#Gene_name
1	8943486	8943592	p36.23	RNU6-304P
1	8953468	8954210	p36.23	HMGN2P17
1	9005926	9035151	p36.23	CA6
1	9039637	9039933	p36.23	RN7SL451P
1	9063359	9086404	p36.23	SLC2A7
1	9095166	9148537	p36.23	SLC2A5
1	9160364	9189229	p36.23	GPR157
1	9211727	9211836	p36.22	MIR34A
1	9294834	9331396	p36.22	H6PD
1	9352939	9429591	p36.22	SPSB1
1	9497728	9497837	p36.22	RNA5SP40
1	9599541	9645237	p36.22	SLC25A33
1	9648932	9674935	p36.22	TMEM201
1	9711790	9789172	p36.22	PIK3CD
1	9712668	9714644	p36.22	C1orf200
1	9789084	9884584	p36.22	CLSTN1
1	9908334	9970394	p36.22	CTNNBIP1
1	9982173	10003465	p36.22	LZIC
1	10003486	10045559	p36.22	NMNAT1
1	10007376	10007694	p36.22	RN7SKP269
1	10027439	10027516	p36.22	MIR5697
1	10057264	10076078	p36.22	RBP7
1	10092890	10241297	p36.22	UBE4B
1	10118729	10119706	p36.22	PGAM1P11
1	10223326	10223432	p36.22	RNU6-828P
1	10270863	10441661	p36.22	KIF1B
1	10270863	10441661	p36.22	KIF1B
1	10270863	10441661	p36.22	KIF1B
1	10287776	10287861	p36.22	MIR1273D
1	10359024	10359130	p36.22	RNU6-37P
1	10366523	10366813	p36.22	RN7SL731P
1	10450059	10450353	p36.22	RN7SL721P
1	10458649	10480201	p36.22	PGD
1	10490159	10512210	p36.22	APITD1
1	10490159	10512210	p36.22	APITD1-CORT
1	10509776	10511959	p36.22	CORT
1	10516579	10532583	p36.22	DFFA
1	10532345	10690815	p36.22	PEX14
1	10676893	10677170	p36.22	RN7SL614P
1	10696661	10856707	p36.22	CASZ1
1	10955818	10956055	p36.22	HSPE1P24
1	11006528	11042094	p36.22	C1orf127
1	11051035	11051854	p36.22	CFL1P6
1	11072414	11085796	p36.22	TARDBP
1	11086580	11107290	p36.22	MASP2
1	11114641	11120081	p36.22	SRM
1	11126675	11159938	p36.22	EXOSC10
1	11166592	11322564	p36.22	MTOR
1	11203955	11209594	p36.22	MTOR-AS1
1	11212407	11212509	p36.22	RNU6-537P
1	11249398	11256038	p36.22	ANGPTL7
1	11286311	11286417	p36.22	RNU6-291P
1	11293020	11293169	p36.22	RPL39P6
1	11333263	11356106	p36.22	UBIAD1
1	11338673	11339408	p36.22	UBE2V2P3
1	11539223	11597641	p36.22	PTCHD2
1	11708424	11715842	p36.22	FBXO2
1	11714432	11723384	p36.22	FBXO44
1	11724181	11734411	p36.22	FBXO6
1	11734537	11751707	p36.22	MAD2L2
1	11751786	11785914	p36.22	DRAXIN
1	11796141	11814859	p36.22	AGTRAP
1	11821844	11849642	p36.22	C1orf167
1	11845780	11866977	p36.22	MTHFR
1	11845780	11866977	p36.22	MTHFR
1	11845780	11866977	p36.22	MTHFR
1	11845780	11866977	p36.22	MTHFR
1	11866207	11903201	p36.22	CLCN6
1	11901074	11908136	p36.22	NPPA-AS1
1	11905766	11908402	p36.22	NPPA
1	11917521	11918988	p36.22	NPPB
1	11968209	11968328	p36.22	RNU5E-1
1	11969865	11969984	p36.22	RNU5E-4P
1	11979648	11986485	p36.22	KIAA2013
1	11994262	12035595	p36.22	PLOD1
1	12040238	12073571	p36.22	MFN2
1	12040238	12073571	p36.22	MFN2
1	12079523	12092102	p36.22	MIIP
1	12096799	12097071	p36.22	RN7SL649P
1	12123434	12204264	p36.22	TNFRSF8
1	12137938	12138041	p36.22	RNU6-777P
1	12227060	12269285	p36.22	TNFRSF1B
1	12251770	12251830	p36.22	MIR4632
1	12290124	12572099	p36.22	VPS13D
1	12567300	12567451	p36.22	SNORA59A
1	12627939	12677737	p36.22	DHRS3
1	12630000	12630100	p36.22	RNU6ATAC18P
1	12704566	12727097	p36.21	AADACL4
1	12776118	12788726	p36.21	AADACL3
1	12806163	12823847	p36.21	C1orf158
1	12834984	12838049	p36.21	PRAMEF12
1	12851546	12856777	p36.21	PRAMEF1
1	12884468	12891264	p36.21	PRAMEF11
1	12907261	12908578	p36.21	HNRNPCL1
1	12916941	12921764	p36.21	PRAMEF2
1	12939045	12946025	p36.21	PRAMEF4
1	12952727	12958101	p36.21	PRAMEF10
1	12976450	12980569	p36.21	PRAMEF7
1	12982374	12982480	p36.21	RNU6-1072P
1	12998181	13117751	p36.21	PRAMEF6
1	13035543	13038381	p36.21	PRAMEF22
1	13108842	13112679	p36.21	PRAMEF23
1	13140456	13145000	p36.21	PRAMEF25
1	13182960	13184326	p36.21	HNRNPCP5
1	13216356	13219581	p36.21	PRAMEF26
1	13328196	13331692	p36.21	PRAMEF3
1	13359819	13369057	p36.21	PRAMEF5
1	13384735	13384841	p36.21	RNU6-771P
1	13386646	13390765	p36.21	PRAMEF8
1	13421176	13428191	p36.21	PRAMEF9
1	13447414	13452656	p36.21	PRAMEF13
1	13474689	13477522	p36.21	PRAMEF18
1	13495254	13498260	p36.21	PRAMEF16
1	13516066	13526943	p36.21	PRAMEF21
1	13641973	13648988	p36.21	PRAMEF15
1	13668269	13673511	p36.21	PRAMEF14
1	13694889	13698405	p36.21	PRAMEF19
1	13716092	13719089	p36.21	PRAMEF17
1	13736907	13747803	p36.21	PRAMEF20
1	13801445	13840543	p36.21	LRRC38
1	13909960	13944452	p36.21	PDPN
1	13949679	13949779	p36.21	RNA5SP41
1	14026693	14151574	p36.21	PRDM2
1	14450728	14450830	p36.21	RNU6-1265P
1	14925200	15444539	p36.21	KAZN
1	15018625	15019109	p36.21	TBCAP2
1	15442448	15478960	p36.21	TMEM51-AS1
1	15479028	15546976	p36.21	TMEM51
1	15490840	15497813	p36.21	C1orf195
1	15573768	15726779	p36.21	FHAD1
1	15736391	15756839	p36.21	EFHD2
1	15764935	15775737	p36.21	CTRC
1	15783223	15798586	p36.21	CELA2A
1	15792404	15817895	p36.21	CELA2B
1	15817327	15853029	p36.21	CASP9
1	15853308	15918874	p36.21	DNAJC16
1	15898848	15911605	p36.21	AGMAT
1	15931077	15931538	p36.21	CHCHD2P6
1	15934573	15934640	p36.21	RNU7-179P
1	15943995	15995539	p36.21	DDI2
1	15986364	15988217	p36.21	RSC1A1
1	16010827	16061264	p36.21	PLEKHM2
1	16062900	16067891	p36.21	SLC25A34
1	16068917	16074477	p36.21	TMEM82
1	16083102	16113089	p36.21	FBLIM1
1	16174359	16266955	p36.21	SPEN
1	16268364	16302627	p36.13	ZBTB17
1	16316366	16321246	p36.13	TBC1D3P6
1	16330731	16335302	p36.13	C1orf64
1	16340523	16346089	p36.13	HSPB7
1	16345370	16360545	p36.13	CLCNKA
1	16370272	16383803	p36.13	CLCNKB
1	16370272	16383803	p36.13	CLCNKB
1	16384264	16400127	p36.13	FAM131C
1	16450832	16482582	p36.13	EPHA2
1	16524349	16524852	p36.13	ARHGEF19-AS1
1	16524349	16539104	p36.13	ARHGEF19
1	16542404	16554522	p36.13	ANO7P1
1	16555368	16556038	p36.13	C1orf134
1	16558195	16563657	p36.13	RSG1
1	16567708	16567893	p36.13	MT1XP1
1	16573334	16678949	p36.13	FBXO42
1	16679070	16724640	p36.13	SZRD1
1	16713612	16763919	p36.13	SPATA21
1	16767167	16786573	p36.13	NECAP2
1	16793931	16825752	p36.13	CROCCP3
1	16840617	16840780	p36.13	RNU1-1
1	16865561	16866070	p36.13	FAM231B
1	16888814	16940057	p36.13	NBPF1
1	16944751	16971178	p36.13	CROCCP2
1	16972069	16976914	p36.13	MST1P2
1	16993280	16993443	p36.13	RNU1-3
1	16999498	17000007	p36.13	FAM231A
1	17012116	17012550	p36.13	EIF1AXP1
1	17013834	17046652	p36.13	ESPNP
1	17060447	17060956	p36.13	FAM231C
1	17066768	17299474	p36.13	CROCC
1	17067011	17067174	p36.13	RNU1-4
1	17076728	17077459	p36.13	CROCCP4
1	17081405	17096732	p36.13	MST1L
1	17185444	17185516	p36.13	MIR3675
1	17222475	17222638	p36.13	RNU1-2
1	17300997	17307330	p36.13	MFAP2
1	17312453	17338423	p36.13	ATP13A2
1	17345217	17380665	p36.13	SDHB
1	17345217	17380665	p36.13	SDHB
1	17345217	17380665	p36.13	SDHB
1	17345217	17380665	p36.13	SDHB
1	17393256	17445948	p36.13	PADI2
1	17531621	17572500	p36.13	PADI1
1	17575593	17610728	p36.13	PADI3
1	17604384	17604470	p36.13	MIR3972
1	17634690	17690499	p36.13	PADI4
1	17698691	17728195	p36.13	PADI6
1	17733256	17766220	p36.13	RCC2
1	17866330	18024369	p36.13	ARHGEF10L
1	18081808	18153558	p36.13	ACTL8
1	18434240	18704977	p36.13	IGSF21
1	18807424	18812478	p36.13	KLHDC7A
1	18957500	19075360	p36.13	PAX7
1	19166093	19186176	p36.13	TAS1R2
1	19197926	19229275	p36.13	ALDH4A1
1	19209696	19209769	p36.13	MIR4695
1	19223565	19223642	p36.13	MIR1290
1	19230775	19283180	p36.13	IFFO2
1	19401000	19536770	p36.13	UBR4
1	19542158	19578046	p36.13	EMC1
1	19578033	19586622	p36.13	MRTO4
1	19592476	19600688	p36.13	AKR7L
1	19609052	19615744	p36.13	AKR7A3
1	19630459	19638640	p36.13	AKR7A2
1	19631570	19631676	p36.13	RNU6-1099P
1	19638820	19655794	p36.13	PQLC2
1	19646299	19646554	p36.13	RN7SL85P
1	19665267	19812066	p36.13	CAPZB
1	19750878	19751163	p36.13	RN7SL277P
1	19837087	19837227	p36.13	RNU4-28P
1	19923473	19984549	p36.13	MINOS1-NBL1
1	19923477	19956314	p36.13	MINOS1
1	19934608	19935062	p36.13	RPS14P3
1	19967048	19984945	p36.13	NBL1
1	19991780	20006055	p36.13	HTR6
1	20008706	20126438	p36.13	TMCO4
1	20140523	20141771	p36.13	RNF186
1	20209006	20239438	p36.13	OTUD3
1	20246502	20250110	p36.13	PLA2G2E
1	20297462	20297760	p36.13	RN7SL304P
1	20301925	20306932	p36.13	PLA2G2A
1	20354672	20417683	p36.13	PLA2G5
1	20438432	20446050	p36.12	PLA2G2D
1	20465819	20476879	p36.12	PLA2G2F
1	20487746	20503917	p36.12	PLA2G2C
1	20510735	20512979	p36.12	UBXN10-AS1
1	20512578	20522541	p36.12	UBXN10
1	20617412	20681387	p36.12	VWA5B1
1	20687072	20757727	p36.12	LINC01141
1	20808884	20812713	p36.12	CAMK2N1
1	20825943	20834654	p36.12	MUL1
1	20852482	20853244	p36.12	RPS4XP4
1	20878932	20881512	p36.12	FAM43B
1	20915441	20945401	p36.12	CDA
1	20959948	20978004	p36.12	PINK1
1	20959948	20978004	p36.12	PINK1
1	20969150	20978686	p36.12	PINK1-AS
1	20978270	20988000	p36.12	DDOST
1	20990507	21044510	p36.12	KIF17
1	21046225	21059330	p36.12	SH2D5
1	21069154	21113816	p36.12	HP1BP3
1	21132963	21503377	p36.12	EIF4G3
1	21167734	21167795	p36.12	RNU7-200P
1	21314807	21314925	p36.12	MIR1256
1	21330043	21330427	p36.12	RPS15AP6
1	21487968	21488574	p36.12	HSPE1P27
1	21543740	21671997	p36.12	ECE1
1	21724480	21724855	p36.12	PPP1R11P1
1	21751118	21754460	p36.12	NBPF2P
1	21754796	21756030	p36.12	HS6ST1P1
1	21760811	21764051	p36.12	CROCCP5
1	21766621	21811498	p36.12	NBPF3
1	21786249	21786575	p36.12	PFN1P10
1	21835858	21904905	p36.12	ALPL
1	21835858	21904905	p36.12	ALPL
1	21835858	21904905	p36.12	ALPL
1	21922708	21995801	p36.12	RAP1GAP
1	22004791	22110099	p36.12	USP48
1	22138758	22151714	p36.12	LDLRAD2
1	22148738	22263790	p36.12	HSPG2
1	22148738	22263790	p36.12	HSPG2
1	22303514	22325135	p36.12	CELA3B
1	22305444	22305729	p36.12	RN7SL421P
1	22313974	22314268	p36.12	RN7SL386P
1	22314309	22314412	p36.12	RNU6-1022P
1	22328149	22339032	p36.12	CELA3A
1	22330078	22330361	p36.12	RN7SL768P
1	22337143	22337437	p36.12	RN7SL186P
1	22337478	22337581	p36.12	RNU6-776P
1	22351681	22357716	p36.12	LINC00339
1	22379120	22419437	p36.12	CDC42
1	22385690	22390692	p36.12	CDC42-IT1
1	22443798	22470462	p36.12	WNT4
1	22443798	22470462	p36.12	WNT4
1	22443798	22470462	p36.12	WNT4
1	22592732	22592793	p36.12	MIR4418
1	22778344	22857650	p36.12	ZBTB40
1	22843967	22846201	p36.12	ZBTB40-IT1
1	22890057	22930087	p36.12	EPHA8
1	22962999	22966101	p36.12	C1QA
1	22970123	22974603	p36.12	C1QC
1	22979255	22988031	p36.12	C1QB
1	23037332	23241818	p36.12	EPHB2
1	23037332	23241818	p36.12	EPHB2
1	23046010	23046091	p36.12	MIR4684
1	23189652	23189719	p36.12	MIR4253
1	23279536	23291831	p36.12	LACTBL1
1	23337327	23342343	p36.12	C1orf234
1	23345941	23410182	p36.12	KDM1A
1	23370798	23370865	p36.12	MIR3115
1	23384351	23384427	p36.12	MIR4419A
1	23410516	23504301	p36.12	LUZP1
1	23489197	23489303	p36.12	RNU6-514P
1	23490446	23490546	p36.12	RNU6-135P
1	23516993	23521222	p36.12	HTR1D
1	23630264	23670829	p36.12	HNRNPR
1	23685941	23695935	p36.12	ZNF436
1	23695490	23698332	p36.12	C1orf213
1	23707554	23751233	p36.12	TCEA3
1	23755056	23811061	p36.12	ASAP3
1	23832922	23857712	p36.12	E2F2
1	23884409	23886285	p36.12	ID3
1	23907985	23967058	p36.11	MDS2
1	24018269	24022915	p36.11	RPL11
1	24063100	24063380	p36.11	RN7SL532P
1	24069645	24088549	p36.11	TCEB3
1	24104895	24114722	p36.11	PITHD1
1	24117460	24122029	p36.11	LYPLA2
1	24122089	24127271	p36.11	GALE
1	24128375	24165110	p36.11	HMGCL
1	24171567	24194784	p36.11	FUCA1
1	24197016	24285549	p36.11	CNR2
1	24208284	24208575	p36.11	RN7SL24P
1	24255560	24255637	p36.11	MIR378F
1	24285599	24289952	p36.11	PNRC2
1	24291294	24307417	p36.11	SRSF10
1	24382525	24438665	p36.11	MYOM3
1	24446261	24469611	p36.11	IL22RA1
1	24480647	24514449	p36.11	IFNLR1
1	24645812	24690972	p36.11	GRHL3
1	24683489	24743424	p36.11	STPG1
1	24742284	24799466	p36.11	NIPAL3
1	24829387	24867530	p36.11	RCAN3
1	24855945	24856204	p36.11	RN7SL857P
1	24882602	24935819	p36.11	NCMAP
1	24958207	24999758	p36.11	SRRM1
1	25071848	25170815	p36.11	CLIC4
1	25104364	25104470	p36.11	RNU6-1208P
1	25226002	25291612	p36.11	RUNX3
1	25349994	25350077	p36.11	MIR4425
1	25549170	25558993	p36.11	SYF2
1	25568728	25664704	p36.11	C1orf63
1	25598884	25656936	p36.11	RHD
1	25620655	25621134	p36.11	SDHDP6
1	25664408	25688852	p36.11	TMEM50A
1	25667462	25667525	p36.11	RNU6-1171P
1	25688740	25756683	p36.11	RHCE
1	25688740	25756683	p36.11	RHCE
1	25757388	25826700	p36.11	TMEM57
1	25870071	25895377	p36.11	LDLRAP1
1	25943959	26112698	p36.11	MAN1C1
1	26126667	26144713	p36.11	SEPN1
1	26145131	26159432	p36.11	MTFR1L
1	26158414	26185903	p36.11	AUNIP
1	26187701	26197744	p36.11	PAQR7
1	26210672	26233482	p36.11	STMN1
1	26213851	26214101	p36.11	SNRPFP2
1	26232853	26232945	p36.11	MIR3917
1	26286258	26324648	p36.11	PAFAH2
1	26290688	26290791	p36.11	RNU6-110P
1	26346375	26362955	p36.11	EXTL1
1	26363743	26372624	p36.11	SLC30A2
1	26377795	26394927	p36.11	TRIM63
1	26437664	26452034	p36.11	PDIK1L
1	26485511	26489119	p36.11	FAM110D
1	26496362	26498551	p36.11	ZNF593
1	26503894	26516377	p36.11	CNKSR1
1	26517052	26529459	p36.11	CATSPER4
1	26560691	26605299	p36.11	CEP85
1	26605667	26608007	p36.11	SH3BGRL3
1	26607819	26644854	p36.11	UBXN11
1	26644448	26647014	p36.11	CD52
1	26648350	26680621	p36.11	AIM1L
1	26674956	26675210	p36.11	RN7SL490P
1	26688125	26701013	p36.11	ZNF683
1	26737269	26756213	p36.11	LIN28A
1	26758773	26797785	p36.11	DHDDS
1	26798941	26802463	p36.11	HMGN2
1	26845845	26846741	p36.11	DPPA2P2
1	26856252	26901521	p36.11	RPS6KA1
1	26881033	26881084	p36.11	MIR1976
1	26919737	26920037	p36.11	RN7SL679P
1	27022524	27108595	p36.11	ARID1A
1	27090115	27090393	p36.11	RN7SL501P
1	27113963	27124889	p36.11	PIGV
1	27141313	27141601	p36.11	RN7SL165P
1	27153201	27184093	p36.11	ZDHHC18
1	27189633	27190947	p36.11	SFN
1	27202624	27216788	p36.11	GPN2
1	27216979	27226957	p36.11	GPATCH3
1	27226729	27273353	p36.11	NUDC
1	27237980	27240457	p36.11	NR0B2
1	27276053	27286897	p36.11	C1orf172
1	27312388	27312831	p36.11	OSTCP2
1	27320198	27327389	p36.11	TRNP1
1	27331511	27339327	p36.11	FAM46B
1	27425306	27493472	p36.11	SLC9A1
1	27527325	27527964	p36.11	CHCHD3P3
1	27533421	27534287	p36.11	NPM1P39
1	27537756	27537975	p36.11	SNRPEP7
1	27561007	27635110	p36.11	WDTC1
1	27648651	27662891	p36.11	TMEM222
1	27651710	27651816	p36.11	RNU6-48P
1	27668513	27680421	p36.11	SYTL1
1	27681675	27693383	p36.11	MAP3K6
1	27695603	27701315	p36.11	FCN3
1	27705666	27709870	p36.11	CD164L2
1	27719148	27722318	p36.11	GPR3
1	27730730	27816669	p36.11	WASF2
1	27860546	27930942	p36.11	AHDC1
1	27938575	27961788	p36.11	FGR
1	27992572	27998729	p36.11	IFI6
1	28002114	28002220	p35.3	RNU6-949P
1	28013321	28013982	p35.3	CHMP1AP1
1	28020242	28020346	p35.3	RNU6-424P
1	28052490	28089633	p35.3	FAM76A
1	28066465	28067140	p35.3	RPEP3
1	28099694	28150963	p35.3	STX12
1	28151049	28151154	p35.3	RNU6-1245P
1	28157289	28178187	p35.3	PPP1R8
1	28160912	28161077	p35.3	SCARNA1
1	28199055	28213196	p35.3	THEMIS2
1	28218035	28241257	p35.3	RPA2
1	28261504	28285668	p35.3	SMPDL3B
1	28285973	28294607	p35.3	XKR8
1	28296855	28415207	p35.3	EYA3
1	28358397	28358691	p35.3	RN7SL559P
1	28421582	28422933	p35.3	SPCS2P4
1	28469248	28469352	p35.3	RNU6-176P
1	28470667	28470728	p35.3	RNU7-29P
1	28473677	28520447	p35.3	PTAFR
1	28525967	28559536	p35.3	DNAJC8
1	28562620	28573417	p35.3	ATPIF1
1	28586038	28609002	p35.3	SESN2
1	28655513	28662476	p35.3	MED18
1	28696114	28826881	p35.3	PHACTR4
1	28807874	28807992	p35.3	RNU6ATAC27P
1	28832455	28865812	p35.3	RCC1
1	28832492	28837404	p35.3	SNHG3
1	28835071	28835274	p35.3	SNORA73B
1	28852830	28853739	p35.3	PRDX3P2
1	28879597	28905051	p35.3	TRNAU1AP
1	28905050	28909495	p35.3	SNHG12
1	28905261	28905334	p35.3	SNORD99
1	28915835	28969597	p35.3	TAF12
1	28918712	28921955	p35.3	RAB42
1	28975112	28975245	p35.3	RNU11
1	28995244	29045865	p35.3	GMEB1
1	29063133	29096287	p35.3	YTHDF2
1	29138654	29190208	p35.3	OPRD1
1	29213603	29446553	p35.3	EPB41
1	29213603	29446553	p35.3	EPB41
1	29445940	29450447	p35.3	TMEM200B
1	29474255	29508499	p35.3	SRSF4
1	29519385	29557454	p35.3	MECR
1	29563028	29653325	p35.3	PTPRU
1	31184124	31196434	p35.2	MATN1
1	31191351	31199674	p35.2	MATN1-AS1
1	31205316	31230667	p35.2	LAPTM5
1	31212003	31212079	p35.2	MIR4420
1	31316670	31316957	p35.2	RN7SKP91
1	31342314	31381608	p35.2	SDC3
1	31404353	31538838	p35.2	PUM1
1	31408535	31408620	p35.2	SNORD103A
1	31421964	31422049	p35.2	SNORD103B
1	31441011	31441083	p35.2	SNORD85
1	31567834	31568405	p35.2	SEPW1P
1	31652592	31712401	p35.2	NKAIN1
1	31732417	31769662	p35.2	SNRNP40
1	31769842	31837783	p35.2	ZCCHC17
1	31838472	31849697	p35.2	FABP3
1	31882412	31907525	p35.2	SERINC2
1	31882412	31907525	p35.2	SERINC2
1	31970419	31970525	p35.2	RNU6-40P
1	32042116	32053288	p35.2	TINAGL1
1	32083287	32098119	p35.2	HCRTR1
1	32095463	32110497	p35.2	PEF1
1	32117848	32169920	p35.2	COL16A1
1	32192718	32230494	p35.2	BAI2
1	32224261	32224336	p35.2	MIR4254
1	32256023	32281652	p35.2	SPOCD1
1	32372022	32410457	p35.1	PTP4A2
1	32479430	32526451	p35.1	KHDRBS1
1	32537632	32568467	p35.1	TMEM39B
1	32552550	32552608	p35.1	MIR5585
1	32573639	32642169	p35.1	KPNA6
1	32645287	32663886	p35.1	TXLNA
1	32665987	32670988	p35.1	CCDC28B
1	32671236	32674288	p35.1	IQCC
1	32674695	32681797	p35.1	DCDC2B
1	32680073	32687972	p35.1	TMEM234
