#Chromosome	Start	Stop	RegionID	SU4838	StdDevCoverage	StdDev/Mean
chr1	94545952	94546345	ABCA4:NM_000350-8	475,7	53,0	0,11
chr1	94548837	94549014	ABCA4:NM_000350-7	382,5	47,7	0,12
chr1	94564277	94564626	ABCA4:NM_000350-6	521,5	42,0	0,08
chr1	94568487	94568773	ABCA4:NM_000350-5	427,3	52,7	0,12
chr1	94574057	94574334	ABCA4:NM_000350-4	402,1	77,7	0,19
chr1	94576922	94577202	ABCA4:NM_000350-3	514,1	63,0	0,12
chr1	94578457	94578627	ABCA4:NM_000350-2,1	401,0	28,4	0,07
chr1	94578637	94578712	ABCA4:NM_000350-2,2	366,1	35,2	0,10
chr1	94586462	94586770	ABCA4:NM_000350-1	380,3	139,6	0,37
chr1	100810487	100810812	CDC14A:NM_001319211-1	459,4	43,2	0,09
chr1	100817942	100818007	CDC14A:NM_001319210-1,1	93,0	32,6	0,35
chr1	100818017	100818638	CDC14A:NM_001319210-1,2	429,2	64,0	0,15
chr1	100819237	100819415	CDC14A:NM_001319210-2,1	461,9	31,3	0,07
chr1	100819422	100819494	CDC14A:NM_001319210-2,2	319,5	38,0	0,12
chr1	100843017	100843240	CDC14A:NM_001319210-3	396,6	48,1	0,12
chr1	100856207	100856467	CDC14A:NM_001319210-4	440,9	63,5	0,14
chr1	100889707	100889939	CDC14A:NM_001319210-5	407,3	35,8	0,09
chr1	100905407	100905629	CDC14A:NM_001319210-6	391,8	78,2	0,20
chr1	100908412	100908626	CDC14A:NM_001319210-7	408,7	36,2	0,09
chr1	100920932	100921129	CDC14A:NM_001319210-8	411,8	46,4	0,11
chr1	100928127	100928511	CDC14A:NM_001319210-9	440,2	54,3	0,12
chr1	100933427	100933714	CDC14A:NM_001319210-10	426,7	37,5	0,09
chr1	100949837	100950180	CDC14A:NM_001319210-11,1;CDC14A:NM_033313-11,1	469,3	46,7	0,10
chr1	100950192	100950289	CDC14A:NM_001319210-11,2;CDC14A:NM_033313-11,2	474,5	15,8	0,03
chr1	100950297	100950431	CDC14A:NM_001319210-11,3;CDC14A:NM_033313-11,3	482,4	11,4	0,02
chr1	100950432	100950911	CDC14A:NM_001319210-11,4;CDC14A:NM_033313-11,4	480,3	29,8	0,06
chr1	100950937	100951010	CDC14A:NM_001319210-11,5;CDC14A:NM_033313-11,5	347,5	20,3	0,06
chr1	100960297	100960542	CDC14A:NM_001319210-12	390,2	55,6	0,14
chr1	100961477	100961689	CDC14A:NM_001319210-13	424,3	39,4	0,09
chr1	100963567	100963854	CDC14A:NM_001319210-14	481,2	69,0	0,14
chr1	100964412	100965093	CDC14A:NM_001319210-15;CDC14A:NM_001319212-14	488,0	35,1	0,07
chr1	100970287	100970574	CDC14A:NM_001319210-16	437,7	70,5	0,16
chr1	100983732	100984216	CDC14A:NM_001319210-17,1	443,2	75,5	0,17
chr1	100984217	100985566	CDC14A:NM_001319210-17,2	478,3	44,6	0,09
chr1	100985582	100985899	CDC14A:NM_001319210-17,3	349,2	29,7	0,09
chr1	109419528	109419910	GPSM2:NM_013296-1	222,6	43,0	0,19
chr1	109427813	109428102	GPSM2:NM_013296-2,1	457,0	34,2	0,07
chr1	109428113	109428278	GPSM2:NM_013296-2,2	421,9	43,3	0,10
chr1	109439413	109439753	GPSM2:NM_013296-3	460,7	66,9	0,15
chr1	109440103	109440307	GPSM2:NM_013296-4	402,8	63,3	0,16
chr1	109440508	109440791	GPSM2:NM_013296-5	437,5	47,6	0,11
chr1	109441193	109441701	GPSM2:NM_013296-6;GPSM2:NM_013296-7	487,3	58,1	0,12
chr1	109444333	109444640	GPSM2:NM_013296-8	473,6	65,7	0,14
chr1	109445668	109445913	GPSM2:NM_013296-9	389,8	50,0	0,13
chr1	109446663	109446936	GPSM2:NM_013296-10	399,6	48,5	0,12
chr1	109456878	109457098	GPSM2:NM_013296-11	442,3	79,4	0,18
chr1	109461153	109461468	GPSM2:NM_013296-12	471,2	60,0	0,13
chr1	109464958	109465282	GPSM2:NM_013296-13	391,9	39,6	0,10
chr1	109466593	109466916	GPSM2:NM_013296-14	419,5	58,3	0,14
chr1	109472248	109473073	GPSM2:NM_013296-15	465,7	55,3	0,12
chr1	160007173	160007313	KCNJ10:NM_002241-2,1	419,9	16,7	0,04
chr1	160007318	160008051	KCNJ10:NM_002241-2,2	501,8	52,4	0,10
chr1	160008068	160009170	KCNJ10:NM_002241-2,3	445,6	107,8	0,24
chr1	160009203	160012387	KCNJ10:NM_002241-2,4	494,6	70,1	0,14
chr1	160039738	160040107	KCNJ10:NM_002241-1	311,8	133,2	0,43
chr1	197170510	197170801	CRB1:NM_001257965-1	446,7	140,7	0,31
chr1	197237250	197237667	CRB1:NM_001193640-1	451,2	51,6	0,11
chr1	197271500	197271574	CRB1:NM_001257965-2,1	236,9	44,5	0,19
chr1	197271585	197271683	CRB1:NM_001257965-2,2	325,6	22,1	0,07
chr1	197273445	197273620	CRB1:NM_001257965-3	339,9	53,5	0,16
chr1	197297470	197298216	CRB1:NM_001257965-4	475,2	71,2	0,15
chr1	197313330	197313694	CRB1:NM_001257965-5	427,5	53,5	0,13
chr1	197316390	197316676	CRB1:NM_001257965-6	400,7	88,4	0,22
chr1	197325880	197326211	CRB1:NM_001257965-7	466,9	66,8	0,14
chr1	197390045	197391189	CRB1:NM_001257965-8	489,8	79,7	0,16
chr1	197396555	197397207	CRB1:NM_001257965-9	453,8	64,2	0,14
chr1	197398030	197398301	CRB1:NM_001257965-10	464,8	74,0	0,16
chr1	197398505	197398815	CRB1:NM_001257965-11	466,7	47,9	0,10
chr1	197403760	197404821	CRB1:NM_001257965-12	493,6	62,8	0,13
chr1	197407605	197407883	CRB1:NM_001257965-13	465,0	85,0	0,18
chr1	197411215	197411722	CRB1:NM_001257965-14;CRB1:NR_047564-11	434,9	53,2	0,12
chr1	197446715	197447657	CRB1:NM_001257965-15	476,0	40,0	0,08
chr1	213031516	213032612	FLVCR1:NM_014053-1	396,6	163,7	0,41
chr1	213036996	213037274	FLVCR1:NM_014053-2	439,9	69,7	0,16
chr1	213045946	213046221	FLVCR1:NM_014053-3	429,6	91,6	0,21
chr1	213056631	213056861	FLVCR1:NM_014053-4	366,0	47,7	0,13
chr1	213058551	213058800	FLVCR1:NM_014053-5	410,4	54,4	0,13
chr1	213061151	213061223	FLVCR1:NM_014053-6,1	394,3	38,7	0,10
chr1	213061226	213061431	FLVCR1:NM_014053-6,2	405,2	67,5	0,17
chr1	213061746	213062008	FLVCR1:NM_014053-7	427,7	51,9	0,12
chr1	213062411	213062656	FLVCR1:NM_014053-8	505,2	94,5	0,19
chr1	213068271	213068929	FLVCR1:NM_014053-9;FLVCR1:NM_014053-10,1	423,4	37,5	0,09
chr1	213068936	213069455	FLVCR1:NM_014053-10,2	462,5	26,6	0,06
chr1	213069486	213070049	FLVCR1:NM_014053-10,3	467,6	53,3	0,11
chr1	213070976	213071058	FLVCR1:NM_014053-10,4	84,9	4,0	0,05
chr1	213071201	213071757	FLVCR1:NM_014053-10,5	425,0	72,3	0,17
chr1	213071771	213072055	FLVCR1:NM_014053-10,6	411,7	54,1	0,13
chr1	213072106	213072184	FLVCR1:NM_014053-10,7	257,9	9,4	0,04
chr1	213072216	213072692	FLVCR1:NM_014053-10,8	429,3	58,7	0,14
chr1	213072696	213072765	FLVCR1:NM_014053-10,9	313,8	27,4	0,09
chr1	215796154	215798124	USH2A:NM_206933-72,1	463,3	48,4	0,10
chr1	215798129	215799299	USH2A:NM_206933-72,2	462,0	52,7	0,11
chr1	215802084	215802472	USH2A:NM_206933-71	474,6	79,1	0,17
chr1	215807729	215808110	USH2A:NM_206933-70	500,5	48,7	0,10
chr1	215812414	215812674	USH2A:NM_206933-69	437,6	62,1	0,14
chr1	215813829	215814141	USH2A:NM_206933-68	433,1	57,1	0,13
chr1	215820789	215821132	USH2A:NM_206933-67	462,0	54,4	0,12
chr1	215821794	215822186	USH2A:NM_206933-66	460,3	42,4	0,09
chr1	215823859	215824201	USH2A:NM_206933-65	431,6	59,1	0,14
chr1	215827189	215827434	USH2A:NM_206933,2-PE64	433,1	44,4	0,10
chr1	215844229	215844719	USH2A:NM_206933-64	459,2	51,9	0,11
chr1	215847359	215849039	USH2A:NM_206933-63	482,2	42,3	0,09
chr1	215853409	215853754	USH2A:NM_206933-62	457,6	71,1	0,16
chr1	215901299	215901794	USH2A:NM_206933-61	452,3	35,8	0,08
chr1	215914644	215914884	USH2A:NM_206933-60,1	434,9	55,7	0,13
chr1	215914894	215914968	USH2A:NM_206933-60,2	309,1	44,0	0,14
chr1	215916444	215916683	USH2A:NM_206933-59	361,6	55,7	0,15
chr1	215931924	215932097	USH2A:NM_206933-58,1	373,0	55,2	0,15
chr1	215932109	215932184	USH2A:NM_206933-58,2	323,3	34,2	0,11
chr1	215932919	215933272	USH2A:NM_206933-57	464,6	41,5	0,09
chr1	215939939	215940188	USH2A:NM_206933-56	443,5	65,0	0,15
chr1	215953109	215953451	USH2A:NM_206933-55	458,8	49,6	0,11
chr1	215955309	215955620	USH2A:NM_206933-54	488,0	55,9	0,11
chr1	215956004	215956356	USH2A:NM_206933-53	457,4	78,4	0,17
chr1	215959939	215960287	USH2A:NM_206933-52	457,9	61,6	0,13
chr1	215963329	215963711	USH2A:NM_206933-51	444,6	45,0	0,10
chr1	215967554	215968001	USH2A:PE50	465,8	66,6	0,14
chr1	215972164	215972558	USH2A:NM_206933-50	436,8	59,4	0,14
chr1	215987004	215987313	USH2A:NM_206933-49	451,5	41,9	0,09
chr1	215990259	215990617	USH2A:NM_206933-48	427,2	52,6	0,12
chr1	216011249	216011528	USH2A:NM_206933-47	417,7	70,5	0,17
chr1	216017564	216017910	USH2A:NM_206933-46	491,0	66,7	0,14
chr1	216019084	216019439	USH2A:NM_206933-45	477,1	68,8	0,14
chr1	216039489	216039952	USH2A:PE44	439,9	47,1	0,11
chr1	216040274	216040573	USH2A:NM_206933-44	393,2	67,3	0,17
chr1	216051024	216051320	USH2A:NM_206933-43	412,8	52,7	0,13
chr1	216052029	216052520	USH2A:NM_206933-42	465,1	64,0	0,14
chr1	216061694	216062455	USH2A:NM_206933-41	463,7	44,3	0,10
chr1	216064419	216064770	USH2A:PE40	442,1	68,5	0,15
chr1	216073344	216073612	USH2A:NM_206933-40	461,6	89,5	0,19
chr1	216074014	216074339	USH2A:NM_206933-39	383,7	42,0	0,11
chr1	216107884	216108155	USH2A:NM_206933-38	409,9	58,6	0,14
chr1	216138574	216138906	USH2A:NM_206933-37	461,7	70,9	0,15
chr1	216143884	216144207	USH2A:NM_206933-36	442,7	65,3	0,15
chr1	216166279	216166596	USH2A:NM_206933-35	425,7	66,0	0,16
chr1	216172154	216172460	USH2A:NM_206933-34	412,5	64,8	0,16
chr1	216173674	216173991	USH2A:NM_206933-33	437,3	66,8	0,15
chr1	216219689	216220001	USH2A:NM_206933-32	399,5	44,6	0,11
chr1	216221794	216222048	USH2A:NM_206933-31	430,0	53,2	0,12
chr1	216243369	216243722	USH2A:NM_206933-30	475,4	54,0	0,11
chr1	216246199	216246720	USH2A:NM_206933-28;USH2A:NM_206933-29	470,0	40,7	0,09
chr1	216247254	216247674	USH2A:PE27	457,2	60,1	0,13
chr1	216251359	216251778	USH2A:NM_206933-27	421,1	58,0	0,14
chr1	216256714	216257013	USH2A:NM_206933-26	404,9	65,0	0,16
chr1	216257969	216258292	USH2A:NM_206933-25	431,5	87,7	0,20
chr1	216259989	216260229	USH2A:NM_206933-24	437,8	75,7	0,17
chr1	216261849	216262114	USH2A:NM_206933,2-PE23	445,3	57,6	0,13
chr1	216262284	216262490	USH2A:NM_206933-23	462,2	63,1	0,14
chr1	216270349	216270629	USH2A:NM_206933-22	438,4	55,9	0,13
chr1	216347209	216347275	USH2A:NM_007123-21,1	409,4	27,4	0,07
chr1	216347284	216347662	USH2A:NM_007123-21,2	413,7	26,4	0,06
chr1	216347674	216347910	USH2A:NM_007123-21,3	412,1	29,7	0,07
chr1	216347914	216348899	USH2A:NM_007123-21,4	464,6	42,3	0,09
chr1	216363489	216363732	USH2A:NM_206933-20	412,4	56,6	0,14
chr1	216369814	216370113	USH2A:NM_206933-19	440,4	56,3	0,13
chr1	216371574	216371999	USH2A:NM_206933-18	395,7	56,3	0,14
chr1	216372884	216373480	USH2A:NM_206933-17	454,1	72,1	0,16
chr1	216380544	216380861	USH2A:NM_206933-16	450,6	69,5	0,15
chr1	216390654	216390971	USH2A:NM_206933-15	451,6	70,5	0,16
chr1	216405214	216405550	USH2A:NM_206933-14	428,6	112,3	0,26
chr1	216419844	216420658	USH2A:NM_206933-13	488,1	69,2	0,14
chr1	216424174	216424523	USH2A:NM_206933-12	427,8	56,7	0,13
chr1	216462539	216462827	USH2A:NM_206933-11	420,3	63,0	0,15
chr1	216465444	216465797	USH2A:NM_206933-10	430,1	78,6	0,18
chr1	216495154	216495400	USH2A:NM_206933-9	366,6	52,1	0,14
chr1	216496734	216497124	USH2A:NM_206933-8	450,8	76,2	0,17
chr1	216497429	216497779	USH2A:NM_206933-7	450,1	99,4	0,22
chr1	216498574	216499027	USH2A:NM_206933-6	463,1	54,0	0,12
chr1	216500859	216501066	USH2A:NM_206933-5	367,4	44,8	0,12
chr1	216538224	216538498	USH2A:NM_206933-4	394,6	47,6	0,12
chr1	216591774	216592107	USH2A:NM_206933-3	457,8	53,1	0,12
chr1	216595109	216595952	USH2A:NM_206933-2	502,7	33,3	0,07
chr1	216596479	216596807	USH2A:NM_206933-1	485,2	65,5	0,13
chr2	26679998	26681149	OTOF:NM_194248-47	463,9	60,1	0,13
chr2	26682818	26683162	OTOF:NM_194248-46	421,9	73,2	0,17
chr2	26683443	26683957	OTOF:NM_194248-44;OTOF:NM_194248-45	407,0	112,0	0,28
chr2	26684483	26684874	OTOF:NM_194248-43	448,4	79,3	0,18
chr2	26684878	26685115	OTOF:NM_194248-42	379,3	68,5	0,18
chr2	26686273	26686531	OTOF:NM_194248-41	432,5	75,8	0,18
chr2	26686753	26687049	OTOF:NM_194248-40	420,7	48,1	0,11
chr2	26687658	26687984	OTOF:NM_194248-39	386,3	86,9	0,22
chr2	26688468	26689038	OTOF:NM_194248-37;OTOF:NM_194248-38	462,8	107,6	0,23
chr2	26689503	26689793	OTOF:NM_194248-36	542,3	74,7	0,14
chr2	26689893	26690291	OTOF:NM_194248-34;OTOF:NM_194248-35	487,3	105,2	0,22
chr2	26690308	26690457	OTOF:NM_194248-34	499,3	56,7	0,11
chr2	26691193	26691409	OTOF:NM_194248-33	431,6	66,4	0,15
chr2	26693388	26693561	OTOF:NM_194248-32,1	406,2	45,5	0,11
chr2	26693573	26693682	OTOF:NM_194248-32,2	341,3	39,0	0,11
chr2	26693908	26694093	OTOF:NM_194248-31	413,4	53,2	0,13
chr2	26695308	26695602	OTOF:NM_194248-30	435,2	107,7	0,25
chr2	26695973	26696523	OTOF:NM_194248-28;OTOF:NM_194248-29	443,0	127,1	0,29
chr2	26696783	26697069	OTOF:NM_194248-27	320,5	82,5	0,26
chr2	26697298	26697631	OTOF:NM_194248-26	424,2	131,5	0,31
chr2	26698153	26698432	OTOF:NM_194248-25	387,0	85,0	0,22
chr2	26698703	26699035	OTOF:NM_194248-23;OTOF:NM_194248-24	491,0	46,1	0,09
chr2	26699058	26699265	OTOF:NM_194248-23	251,2	75,8	0,30
chr2	26699688	26701005	OTOF:NM_194248-19;OTOF:NM_194248-20;OTOF:NM_194248-21;OTOF:NM_194248-22;OTOF:NM_194322-1	399,0	77,4	0,19
chr2	26702048	26702587	OTOF:NM_194248-17;OTOF:NM_194248-18	483,9	73,8	0,15
chr2	26702988	26703237	OTOF:NM_194248-16	467,6	100,8	0,22
chr2	26703573	26703955	OTOF:NM_194248-15	386,8	143,7	0,37
chr2	26705203	26705521	OTOF:NM_194248-14	321,4	90,1	0,28
chr2	26706258	26706603	OTOF:NM_194248-13	445,0	49,3	0,11
chr2	26707263	26707581	OTOF:NM_194248-12	425,5	80,9	0,19
chr2	26712008	26712251	OTOF:NM_194248-11	396,3	62,6	0,16
chr2	26712473	26712680	OTOF:NM_194248-10	332,1	66,3	0,20
chr2	26717728	26718013	OTOF:NM_194248-9	394,0	75,8	0,19
chr2	26724538	26724757	OTOF:NM_194248-8	365,0	72,2	0,20
chr2	26725083	26725382	OTOF:NM_194248-7	414,0	80,3	0,19
chr2	26726568	26726777	OTOF:NM_194248-6	352,5	57,5	0,16
chr2	26739208	26739538	OTOF:NM_194248-5	451,0	49,7	0,11
chr2	26741803	26742054	OTOF:NM_194248-4	421,5	98,3	0,23
chr2	26750628	26750868	OTOF:NM_194248-3	434,5	76,8	0,18
chr2	26760513	26760731	OTOF:NM_194248-2	372,1	51,4	0,14
chr2	26781288	26781541	OTOF:NM_194248-1,1	323,4	64,6	0,20
chr2	26781543	26781658	OTOF:NM_194248-1,2	224,5	16,2	0,07
chr2	27600023	27601990	ZNF513:NM_144631-4;ZNF513:NM_144631-3	492,8	83,9	0,17
chr2	27602883	27603021	ZNF513:NM_144631-2	462,0	82,5	0,18
chr2	27603023	27603576	ZNF513:NM_144631-1;ZNF513:NM_144631-2;ZNF513:NM_001201459-1	378,3	128,8	0,34
chr2	27603578	27603681	ZNF513:NM_144631-1	236,0	19,2	0,08
chr2	29284483	29287451	C2ORF71:NM_001029883-2,1	514,1	49,2	0,10
chr2	29287453	29288017	C2ORF71:NM_001029883-2,2	471,8	50,8	0,11
chr2	29293383	29295623	C2ORF71:NM_001029883-1,1	451,7	118,4	0,26
chr2	29295653	29297198	C2ORF71:NM_001029883-1,2	522,8	54,8	0,10
chr2	62051899	62052781	FAM161A:NM_001201543-7,1	449,1	45,8	0,10
chr2	62053059	62053200	FAM161A:NM_001201543-7,2	395,3	13,6	0,03
chr2	62053204	62053340	FAM161A:NM_001201543-7,3	463,4	26,4	0,06
chr2	62053344	62053786	FAM161A:NM_001201543-7,4	466,4	45,5	0,10
chr2	62054159	62054473	FAM161A:NM_001201543-6	445,7	61,7	0,14
chr2	62063104	62063176	FAM161A:NM_001201543-5,1	343,2	38,0	0,11
chr2	62063184	62063325	FAM161A:NM_001201543-5,2	368,2	67,3	0,18
chr2	62065624	62065902	FAM161A:NM_001201543-4	426,2	57,5	0,13
chr2	62066474	62067774	FAM161A:NM_001201543-3	488,0	52,1	0,11
chr2	62069179	62069573	FAM161A:NM_001201543-2	485,8	73,0	0,15
chr2	62080909	62081342	FAM161A:NM_001201543-1	437,0	63,7	0,15
chr2	112656117	112656456	MERTK:NM_006343-1	262,9	113,7	0,43
chr2	112686612	112687140	MERTK:NM_006343-2	454,1	44,5	0,10
chr2	112702452	112702698	MERTK:NM_006343-3	461,4	43,1	0,09
chr2	112704897	112705210	MERTK:NM_006343-4	468,9	66,0	0,14
chr2	112722687	112722952	MERTK:NM_006343-5	420,4	78,9	0,19
chr2	112725697	112725900	MERTK:NM_006343-6	423,5	56,9	0,13
chr2	112732792	112733138	MERTK:NM_006343-7	471,2	44,9	0,10
chr2	112740337	112740654	MERTK:NM_006343-8	458,9	47,9	0,10
chr2	112751752	112752072	MERTK:NM_006343-9	432,5	68,8	0,16
chr2	112754827	112755141	MERTK:NM_006343-10	499,6	40,2	0,08
chr2	112758697	112758945	MERTK:NM_006343-11	429,1	57,3	0,13
chr2	112760597	112760828	MERTK:NM_006343-12	491,6	74,1	0,15
chr2	112761407	112761654	MERTK:NM_006343-13	499,6	37,0	0,07
chr2	112765877	112766141	MERTK:NM_006343-14	399,2	45,6	0,11
chr2	112767442	112767727	MERTK:NM_006343-15	502,4	42,2	0,08
chr2	112776917	112777166	MERTK:NM_006343-16	464,3	82,5	0,18
chr2	112778917	112779250	MERTK:NM_006343-17	429,0	53,3	0,12
chr2	112779752	112780048	MERTK:NM_006343-18	503,3	59,5	0,12
chr2	112785857	112786592	MERTK:NM_006343-19,1	499,2	47,3	0,09
chr2	112786617	112787030	MERTK:NM_006343-19,2	448,0	45,3	0,10
chr2	179316092	179316572	DFNB59:NM_001042702-1	498,6	41,9	0,08
chr2	179318037	179318435	DFNB59:NM_001042702-2	413,4	53,8	0,13
chr2	179318987	179319332	DFNB59:NM_001042702-3	398,8	70,1	0,18
chr2	179320652	179320934	DFNB59:NM_001042702-4	412,8	65,2	0,16
chr2	179323152	179323224	DFNB59:NM_001042702-5,1	339,4	36,6	0,11
