#Chromosome	Start	Stop	RegionID	SU4751	StdDevCoverage	StdDev/Mean
chr1	94470912	94471206	ABCA4:NM_000350-44	505,2	59,4	0,12
chr1	94473107	94473357	ABCA4:NM_000350-43	454,1	69,5	0,15
chr1	94473707	94473921	ABCA4:NM_000350-42	437,1	37,2	0,09
chr1	94474232	94474517	ABCA4:NM_000350-41	581,5	55,2	0,09
chr1	94476272	94476570	ABCA4:NM_000350-40	478,8	69,2	0,14
chr1	94476737	94477015	ABCA4:NM_000350-39	481,8	79,4	0,16
chr1	94480027	94480317	ABCA4:NM_000350-38	521,4	43,0	0,08
chr1	94481212	94481502	ABCA4:NM_000350-37	440,7	70,6	0,16
chr1	94483827	94484224	ABCA4:NM_000350,2-PE36	547,3	61,9	0,11
chr1	94485067	94485384	ABCA4:NM_000350-36	463,1	86,4	0,19
chr1	94486717	94487034	ABCA4:NM_000350-35	502,6	30,5	0,06
chr1	94487122	94487286	ABCA4:NM_000350-34	531,1	37,3	0,07
chr1	94487317	94487564	ABCA4:NM_000350-33	515,3	36,6	0,07
chr1	94488857	94489044	ABCA4:NM_000350-32	504,0	58,5	0,12
chr1	94490427	94490674	ABCA4:NM_000350-31	568,5	49,7	0,09
chr1	94492872	94493131	ABCA4:NM_000350,2-PE30	483,3	77,8	0,16
chr1	94494922	94495274	ABCA4:NM_000350-30	491,1	44,8	0,09
chr1	94495912	94496168	ABCA4:NM_000350-29	455,2	63,3	0,14
chr1	94496467	94496765	ABCA4:NM_000350-28	530,6	64,8	0,12
chr1	94497257	94497673	ABCA4:NM_000350-27	452,6	70,2	0,16
chr1	94502222	94502425	ABCA4:NM_000350-26	476,2	57,9	0,12
chr1	94502622	94502980	ABCA4:NM_000350-25	559,7	51,1	0,09
chr1	94505522	94505781	ABCA4:NM_000350-24	485,0	71,9	0,15
chr1	94506682	94507046	ABCA4:NM_000350-23	494,2	54,6	0,11
chr1	94508232	94508518	ABCA4:NM_000350-22	483,8	72,8	0,15
chr1	94508817	94509105	ABCA4:NM_000350-21	546,8	73,7	0,13
chr1	94510097	94510384	ABCA4:NM_000350-20	452,8	69,0	0,15
chr1	94512392	94512722	ABCA4:NM_000350-19	517,2	96,8	0,19
chr1	94514347	94514589	ABCA4:NM_000350-18	448,2	39,0	0,09
chr1	94517112	94517327	ABCA4:NM_000350-17	554,1	75,9	0,14
chr1	94520592	94520953	ABCA4:NM_000350-16	516,6	64,9	0,13
chr1	94522082	94522462	ABCA4:NM_000350-15	537,3	56,7	0,11
chr1	94526012	94526372	ABCA4:NM_000350-14	522,1	45,3	0,09
chr1	94528062	94528372	ABCA4:NM_000350-13	429,8	87,5	0,20
chr1	94528597	94528956	ABCA4:NM_000350-12	530,6	52,5	0,10
chr1	94543162	94543517	ABCA4:NM_000350-11	498,9	63,8	0,13
chr1	94544117	94544333	ABCA4:NM_000350-10	339,1	119,5	0,35
chr1	94544822	94545099	ABCA4:NM_000350-9	511,6	40,6	0,08
chr1	94545952	94546345	ABCA4:NM_000350-8	567,1	66,3	0,12
chr1	94548837	94549014	ABCA4:NM_000350-7	478,5	51,8	0,11
chr1	94564277	94564626	ABCA4:NM_000350-6	562,1	45,9	0,08
chr1	94568487	94568773	ABCA4:NM_000350-5	554,4	77,5	0,14
chr1	94574057	94574334	ABCA4:NM_000350-4	515,5	94,5	0,18
chr1	94576922	94577202	ABCA4:NM_000350-3	535,2	65,9	0,12
chr1	94578457	94578627	ABCA4:NM_000350-2,1	506,7	46,5	0,09
chr1	94578637	94578712	ABCA4:NM_000350-2,2	476,8	40,8	0,09
chr1	94586462	94586770	ABCA4:NM_000350-1	441,6	150,2	0,34
chr1	100810487	100810812	CDC14A:NM_001319211-1	541,1	63,2	0,12
chr1	100817942	100818007	CDC14A:NM_001319210-1,1	99,3	32,4	0,33
chr1	100818017	100818638	CDC14A:NM_001319210-1,2	405,0	65,2	0,16
chr1	100819237	100819415	CDC14A:NM_001319210-2,1	488,1	37,0	0,08
chr1	100819422	100819494	CDC14A:NM_001319210-2,2	385,0	50,3	0,13
chr1	100843017	100843240	CDC14A:NM_001319210-3	488,9	63,5	0,13
chr1	100856207	100856467	CDC14A:NM_001319210-4	551,6	39,9	0,07
chr1	100889707	100889939	CDC14A:NM_001319210-5	531,8	45,4	0,09
chr1	100905407	100905629	CDC14A:NM_001319210-6	497,7	77,6	0,16
chr1	100908412	100908626	CDC14A:NM_001319210-7	487,3	76,0	0,16
chr1	100920932	100921129	CDC14A:NM_001319210-8	499,0	54,4	0,11
chr1	100928127	100928511	CDC14A:NM_001319210-9	493,3	77,3	0,16
chr1	100933427	100933714	CDC14A:NM_001319210-10	516,2	32,6	0,06
chr1	100949837	100950180	CDC14A:NM_001319210-11,1;CDC14A:NM_033313-11,1	556,0	53,6	0,10
chr1	100950192	100950289	CDC14A:NM_001319210-11,2;CDC14A:NM_033313-11,2	578,6	6,7	0,01
chr1	100950297	100950431	CDC14A:NM_001319210-11,3;CDC14A:NM_033313-11,3	545,2	9,3	0,02
chr1	100950432	100950911	CDC14A:NM_001319210-11,4;CDC14A:NM_033313-11,4	623,7	64,4	0,10
chr1	100950937	100951010	CDC14A:NM_001319210-11,5;CDC14A:NM_033313-11,5	455,6	22,0	0,05
chr1	100960297	100960542	CDC14A:NM_001319210-12	539,8	54,6	0,10
chr1	100961477	100961689	CDC14A:NM_001319210-13	496,2	50,5	0,10
chr1	100963567	100963854	CDC14A:NM_001319210-14	515,8	93,1	0,18
chr1	100964412	100965093	CDC14A:NM_001319210-15;CDC14A:NM_001319212-14	541,7	36,8	0,07
chr1	100970287	100970574	CDC14A:NM_001319210-16	500,8	74,1	0,15
chr1	100983732	100984216	CDC14A:NM_001319210-17,1	531,9	51,5	0,10
chr1	100984217	100985566	CDC14A:NM_001319210-17,2	559,2	41,2	0,07
chr1	100985582	100985899	CDC14A:NM_001319210-17,3	487,8	47,0	0,10
chr1	109419528	109419910	GPSM2:NM_013296-1	227,5	40,5	0,18
chr1	109427813	109428102	GPSM2:NM_013296-2,1	531,8	62,4	0,12
chr1	109428113	109428278	GPSM2:NM_013296-2,2	481,3	41,2	0,09
chr1	109439413	109439753	GPSM2:NM_013296-3	554,7	57,7	0,10
chr1	109440103	109440307	GPSM2:NM_013296-4	544,1	88,0	0,16
chr1	109440508	109440791	GPSM2:NM_013296-5	534,6	78,8	0,15
chr1	109441193	109441701	GPSM2:NM_013296-6;GPSM2:NM_013296-7	570,5	58,1	0,10
chr1	109444333	109444640	GPSM2:NM_013296-8	551,8	87,3	0,16
chr1	109445668	109445913	GPSM2:NM_013296-9	553,1	81,3	0,15
chr1	109446663	109446936	GPSM2:NM_013296-10	532,0	82,1	0,15
chr1	109456878	109457098	GPSM2:NM_013296-11	534,7	79,4	0,15
chr1	109461153	109461468	GPSM2:NM_013296-12	540,1	35,7	0,07
chr1	109464958	109465282	GPSM2:NM_013296-13	530,4	60,2	0,11
chr1	109466593	109466916	GPSM2:NM_013296-14	501,1	83,2	0,17
chr1	109472248	109473073	GPSM2:NM_013296-15	570,0	55,7	0,10
chr1	160007173	160007313	KCNJ10:NM_002241-2,1	534,1	28,4	0,05
chr1	160007318	160008051	KCNJ10:NM_002241-2,2	570,5	66,6	0,12
chr1	160008068	160009170	KCNJ10:NM_002241-2,3	521,9	119,4	0,23
chr1	160009203	160012387	KCNJ10:NM_002241-2,4	555,9	80,6	0,14
chr1	160039738	160040107	KCNJ10:NM_002241-1	296,8	138,0	0,46
chr1	197170510	197170801	CRB1:NM_001257965-1	386,6	119,3	0,31
chr1	197237250	197237667	CRB1:NM_001193640-1	545,1	85,6	0,16
chr1	197271500	197271574	CRB1:NM_001257965-2,1	314,9	59,3	0,19
chr1	197271585	197271683	CRB1:NM_001257965-2,2	469,2	29,1	0,06
chr1	197273445	197273620	CRB1:NM_001257965-3	471,3	71,4	0,15
chr1	197297470	197298216	CRB1:NM_001257965-4	577,8	66,5	0,12
chr1	197313330	197313694	CRB1:NM_001257965-5	547,3	50,4	0,09
chr1	197316390	197316676	CRB1:NM_001257965-6	480,5	64,5	0,13
chr1	197325880	197326211	CRB1:NM_001257965-7	478,3	40,0	0,08
chr1	197390045	197391189	CRB1:NM_001257965-8	544,3	79,6	0,15
chr1	197396555	197397207	CRB1:NM_001257965-9	548,7	54,8	0,10
chr1	197398030	197398301	CRB1:NM_001257965-10	561,2	73,3	0,13
chr1	197398505	197398815	CRB1:NM_001257965-11	534,5	39,2	0,07
chr1	197403760	197404821	CRB1:NM_001257965-12	582,1	72,9	0,13
chr1	197407605	197407883	CRB1:NM_001257965-13	471,8	57,5	0,12
chr1	197411215	197411722	CRB1:NM_001257965-14;CRB1:NR_047564-11	545,7	47,5	0,09
chr1	197446715	197447657	CRB1:NM_001257965-15	576,5	54,2	0,09
chr1	213031516	213032612	FLVCR1:NM_014053-1	384,6	164,0	0,43
chr1	213036996	213037274	FLVCR1:NM_014053-2	549,0	50,5	0,09
chr1	213045946	213046221	FLVCR1:NM_014053-3	511,9	82,0	0,16
chr1	213056631	213056861	FLVCR1:NM_014053-4	469,8	55,7	0,12
chr1	213058551	213058800	FLVCR1:NM_014053-5	528,1	43,1	0,08
chr1	213061151	213061223	FLVCR1:NM_014053-6,1	516,7	23,1	0,04
chr1	213061226	213061431	FLVCR1:NM_014053-6,2	475,5	50,1	0,11
chr1	213061746	213062008	FLVCR1:NM_014053-7	527,8	60,1	0,11
chr1	213062411	213062656	FLVCR1:NM_014053-8	495,9	78,7	0,16
chr1	213068271	213068929	FLVCR1:NM_014053-9;FLVCR1:NM_014053-10,1	522,5	44,1	0,08
chr1	213068936	213069455	FLVCR1:NM_014053-10,2	565,5	29,9	0,05
chr1	213069486	213070049	FLVCR1:NM_014053-10,3	535,9	57,7	0,11
chr1	213070976	213071058	FLVCR1:NM_014053-10,4	81,7	9,3	0,11
chr1	213071201	213071757	FLVCR1:NM_014053-10,5	546,8	99,6	0,18
chr1	213071771	213072055	FLVCR1:NM_014053-10,6	549,3	54,6	0,10
chr1	213072106	213072184	FLVCR1:NM_014053-10,7	266,8	9,1	0,03
chr1	213072216	213072692	FLVCR1:NM_014053-10,8	513,9	75,8	0,15
chr1	213072696	213072765	FLVCR1:NM_014053-10,9	449,7	39,9	0,09
chr1	215796154	215798124	USH2A:NM_206933-72,1	571,9	46,9	0,08
chr1	215798129	215799299	USH2A:NM_206933-72,2	568,3	61,1	0,11
chr1	215802084	215802472	USH2A:NM_206933-71	535,7	84,9	0,16
chr1	215807729	215808110	USH2A:NM_206933-70	569,1	51,5	0,09
chr1	215812414	215812674	USH2A:NM_206933-69	507,8	62,0	0,12
chr1	215813829	215814141	USH2A:NM_206933-68	490,9	49,5	0,10
chr1	215820789	215821132	USH2A:NM_206933-67	507,3	59,4	0,12
chr1	215821794	215822186	USH2A:NM_206933-66	498,8	44,1	0,09
chr1	215823859	215824201	USH2A:NM_206933-65	464,1	88,5	0,19
chr1	215827189	215827434	USH2A:NM_206933,2-PE64	484,9	35,3	0,07
chr1	215844229	215844719	USH2A:NM_206933-64	535,5	60,1	0,11
chr1	215847359	215849039	USH2A:NM_206933-63	572,1	46,0	0,08
chr1	215853409	215853754	USH2A:NM_206933-62	538,2	66,3	0,12
chr1	215901299	215901794	USH2A:NM_206933-61	522,9	41,5	0,08
chr1	215914644	215914884	USH2A:NM_206933-60,1	561,2	57,0	0,10
chr1	215914894	215914968	USH2A:NM_206933-60,2	401,2	65,9	0,16
chr1	215916444	215916683	USH2A:NM_206933-59	479,8	109,1	0,23
chr1	215931924	215932097	USH2A:NM_206933-58,1	500,5	85,5	0,17
chr1	215932109	215932184	USH2A:NM_206933-58,2	507,9	44,8	0,09
chr1	215932919	215933272	USH2A:NM_206933-57	539,8	60,8	0,11
chr1	215939939	215940188	USH2A:NM_206933-56	498,7	75,6	0,15
chr1	215953109	215953451	USH2A:NM_206933-55	530,5	48,3	0,09
chr1	215955309	215955620	USH2A:NM_206933-54	507,5	52,4	0,10
chr1	215956004	215956356	USH2A:NM_206933-53	499,6	65,1	0,13
chr1	215959939	215960287	USH2A:NM_206933-52	496,3	55,9	0,11
chr1	215963329	215963711	USH2A:NM_206933-51	513,1	82,1	0,16
chr1	215967554	215968001	USH2A:PE50	567,7	63,8	0,11
chr1	215972164	215972558	USH2A:NM_206933-50	513,4	65,6	0,13
chr1	215987004	215987313	USH2A:NM_206933-49	543,6	56,6	0,10
chr1	215990259	215990617	USH2A:NM_206933-48	501,4	54,7	0,11
chr1	216011249	216011528	USH2A:NM_206933-47	525,4	56,1	0,11
chr1	216017564	216017910	USH2A:NM_206933-46	495,1	65,7	0,13
chr1	216019084	216019439	USH2A:NM_206933-45	532,4	82,3	0,15
chr1	216039489	216039952	USH2A:PE44	544,1	69,7	0,13
chr1	216040274	216040573	USH2A:NM_206933-44	530,0	85,3	0,16
chr1	216051024	216051320	USH2A:NM_206933-43	543,9	70,3	0,13
chr1	216052029	216052520	USH2A:NM_206933-42	516,4	51,0	0,10
chr1	216061694	216062455	USH2A:NM_206933-41	565,3	55,3	0,10
chr1	216064419	216064770	USH2A:PE40	485,4	56,6	0,12
chr1	216073344	216073612	USH2A:NM_206933-40	547,1	64,0	0,12
chr1	216074014	216074339	USH2A:NM_206933-39	495,6	76,6	0,15
chr1	216107884	216108155	USH2A:NM_206933-38	515,4	58,3	0,11
chr1	216138574	216138906	USH2A:NM_206933-37	494,1	94,3	0,19
chr1	216143884	216144207	USH2A:NM_206933-36	543,4	49,5	0,09
chr1	216166279	216166596	USH2A:NM_206933-35	544,7	58,5	0,11
chr1	216172154	216172460	USH2A:NM_206933-34	519,9	59,2	0,11
chr1	216173674	216173991	USH2A:NM_206933-33	540,8	48,6	0,09
chr1	216219689	216220001	USH2A:NM_206933-32	521,3	97,9	0,19
chr1	216221794	216222048	USH2A:NM_206933-31	513,4	66,6	0,13
chr1	216243369	216243722	USH2A:NM_206933-30	564,7	61,9	0,11
chr1	216246199	216246720	USH2A:NM_206933-28;USH2A:NM_206933-29	519,5	49,9	0,10
chr1	216247254	216247674	USH2A:PE27	504,1	69,4	0,14
chr1	216251359	216251778	USH2A:NM_206933-27	546,8	60,7	0,11
chr1	216256714	216257013	USH2A:NM_206933-26	469,6	67,9	0,14
chr1	216257969	216258292	USH2A:NM_206933-25	500,2	94,1	0,19
chr1	216259989	216260229	USH2A:NM_206933-24	496,0	79,7	0,16
chr1	216261849	216262114	USH2A:NM_206933,2-PE23	531,0	44,9	0,08
chr1	216262284	216262490	USH2A:NM_206933-23	517,4	66,5	0,13
chr1	216270349	216270629	USH2A:NM_206933-22	550,2	74,0	0,13
chr1	216347209	216347275	USH2A:NM_007123-21,1	460,0	34,3	0,07
chr1	216347284	216347662	USH2A:NM_007123-21,2	530,8	29,1	0,05
chr1	216347674	216347910	USH2A:NM_007123-21,3	512,5	36,7	0,07
chr1	216347914	216348899	USH2A:NM_007123-21,4	585,1	52,5	0,09
chr1	216363489	216363732	USH2A:NM_206933-20	517,2	62,5	0,12
chr1	216369814	216370113	USH2A:NM_206933-19	544,8	43,3	0,08
chr1	216371574	216371999	USH2A:NM_206933-18	506,2	61,9	0,12
chr1	216372884	216373480	USH2A:NM_206933-17	560,6	59,0	0,11
chr1	216380544	216380861	USH2A:NM_206933-16	565,2	64,3	0,11
chr1	216390654	216390971	USH2A:NM_206933-15	516,8	52,1	0,10
chr1	216405214	216405550	USH2A:NM_206933-14	480,4	114,3	0,24
chr1	216419844	216420658	USH2A:NM_206933-13	555,9	50,8	0,09
chr1	216424174	216424523	USH2A:NM_206933-12	510,9	41,2	0,08
chr1	216462539	216462827	USH2A:NM_206933-11	489,7	51,6	0,11
chr1	216465444	216465797	USH2A:NM_206933-10	539,5	76,0	0,14
chr1	216495154	216495400	USH2A:NM_206933-9	460,4	65,3	0,14
chr1	216496734	216497124	USH2A:NM_206933-8	509,6	59,7	0,12
chr1	216497429	216497779	USH2A:NM_206933-7	563,0	112,6	0,20
chr1	216498574	216499027	USH2A:NM_206933-6	554,3	41,1	0,07
chr1	216500859	216501066	USH2A:NM_206933-5	542,8	78,0	0,14
chr1	216538224	216538498	USH2A:NM_206933-4	509,1	70,4	0,14
chr1	216591774	216592107	USH2A:NM_206933-3	539,1	35,6	0,07
chr1	216595109	216595952	USH2A:NM_206933-2	587,4	57,0	0,10
chr1	216596479	216596807	USH2A:NM_206933-1	548,6	62,4	0,11
chr2	26679998	26681149	OTOF:NM_194248-47	455,2	87,6	0,19
chr2	26682818	26683162	OTOF:NM_194248-46	454,7	59,7	0,13
chr2	26683443	26683957	OTOF:NM_194248-44;OTOF:NM_194248-45	437,8	124,4	0,28
chr2	26684483	26684874	OTOF:NM_194248-43	467,8	71,8	0,15
chr2	26684878	26685115	OTOF:NM_194248-42	398,0	94,6	0,24
chr2	26686273	26686531	OTOF:NM_194248-41	453,9	104,2	0,23
chr2	26686753	26687049	OTOF:NM_194248-40	412,6	55,3	0,13
chr2	26687658	26687984	OTOF:NM_194248-39	392,6	86,1	0,22
chr2	26688468	26689038	OTOF:NM_194248-37;OTOF:NM_194248-38	484,3	88,3	0,18
chr2	26689503	26689793	OTOF:NM_194248-36	484,2	71,3	0,15
chr2	26689893	26690291	OTOF:NM_194248-34;OTOF:NM_194248-35	489,7	99,2	0,20
chr2	26690308	26690457	OTOF:NM_194248-34	475,9	53,8	0,11
chr2	26691193	26691409	OTOF:NM_194248-33	465,1	97,7	0,21
chr2	26693388	26693561	OTOF:NM_194248-32,1	465,6	64,4	0,14
chr2	26693573	26693682	OTOF:NM_194248-32,2	330,1	58,4	0,18
chr2	26693908	26694093	OTOF:NM_194248-31	437,8	64,9	0,15
chr2	26695308	26695602	OTOF:NM_194248-30	425,6	78,1	0,18
chr2	26695973	26696523	OTOF:NM_194248-28;OTOF:NM_194248-29	430,2	125,5	0,29
chr2	26696783	26697069	OTOF:NM_194248-27	346,2	77,7	0,22
chr2	26697298	26697631	OTOF:NM_194248-26	431,0	130,7	0,30
chr2	26698153	26698432	OTOF:NM_194248-25	407,9	101,9	0,25
chr2	26698703	26699035	OTOF:NM_194248-23;OTOF:NM_194248-24	444,6	50,4	0,11
chr2	26699058	26699265	OTOF:NM_194248-23	290,9	77,2	0,27
chr2	26699688	26701005	OTOF:NM_194248-19;OTOF:NM_194248-20;OTOF:NM_194248-21;OTOF:NM_194248-22;OTOF:NM_194322-1	439,6	98,3	0,22
chr2	26702048	26702587	OTOF:NM_194248-17;OTOF:NM_194248-18	459,5	81,4	0,18
chr2	26702988	26703237	OTOF:NM_194248-16	464,7	92,0	0,20
chr2	26703573	26703955	OTOF:NM_194248-15	337,6	104,2	0,31
chr2	26705203	26705521	OTOF:NM_194248-14	353,2	102,9	0,29
chr2	26706258	26706603	OTOF:NM_194248-13	524,9	55,0	0,10
chr2	26707263	26707581	OTOF:NM_194248-12	439,5	74,3	0,17
chr2	26712008	26712251	OTOF:NM_194248-11	398,4	71,3	0,18
chr2	26712473	26712680	OTOF:NM_194248-10	388,3	79,3	0,20
chr2	26717728	26718013	OTOF:NM_194248-9	444,4	90,4	0,20
chr2	26724538	26724757	OTOF:NM_194248-8	424,1	69,9	0,16
chr2	26725083	26725382	OTOF:NM_194248-7	437,8	78,5	0,18
chr2	26726568	26726777	OTOF:NM_194248-6	360,8	64,1	0,18
chr2	26739208	26739538	OTOF:NM_194248-5	487,2	45,3	0,09
chr2	26741803	26742054	OTOF:NM_194248-4	456,1	89,0	0,20
chr2	26750628	26750868	OTOF:NM_194248-3	441,0	70,0	0,16
chr2	26760513	26760731	OTOF:NM_194248-2	436,8	72,6	0,17
chr2	26781288	26781541	OTOF:NM_194248-1,1	301,7	62,8	0,21
chr2	26781543	26781658	OTOF:NM_194248-1,2	215,4	14,9	0,07
chr2	27600023	27601990	ZNF513:NM_144631-4;ZNF513:NM_144631-3	516,1	76,5	0,15
chr2	27602883	27603021	ZNF513:NM_144631-2	525,9	53,9	0,10
chr2	27603023	27603576	ZNF513:NM_144631-1;ZNF513:NM_144631-2;ZNF513:NM_001201459-1	362,0	120,4	0,33
chr2	27603578	27603681	ZNF513:NM_144631-1	240,3	16,2	0,07
chr2	29284483	29287451	C2ORF71:NM_001029883-2,1	567,0	48,5	0,09
chr2	29287453	29288017	C2ORF71:NM_001029883-2,2	498,3	36,2	0,07
chr2	29293383	29295623	C2ORF71:NM_001029883-1,1	488,5	131,5	0,27
chr2	29295653	29297198	C2ORF71:NM_001029883-1,2	558,4	37,2	0,07
chr2	62051899	62052781	FAM161A:NM_001201543-7,1	555,8	64,9	0,12
chr2	62053059	62053200	FAM161A:NM_001201543-7,2	535,7	48,4	0,09
chr2	62053204	62053340	FAM161A:NM_001201543-7,3	558,2	27,0	0,05
chr2	62053344	62053786	FAM161A:NM_001201543-7,4	528,6	57,8	0,11
chr2	62054159	62054473	FAM161A:NM_001201543-6	537,3	75,5	0,14
chr2	62063104	62063176	FAM161A:NM_001201543-5,1	431,0	41,5	0,10
chr2	62063184	62063325	FAM161A:NM_001201543-5,2	475,6	57,2	0,12
chr2	62065624	62065902	FAM161A:NM_001201543-4	545,8	58,1	0,11
chr2	62066474	62067774	FAM161A:NM_001201543-3	555,4	48,5	0,09
chr2	62069179	62069573	FAM161A:NM_001201543-2	559,3	51,3	0,09
chr2	62080909	62081342	FAM161A:NM_001201543-1	426,5	53,5	0,13
chr2	112656117	112656456	MERTK:NM_006343-1	240,9	111,4	0,46
chr2	112686612	112687140	MERTK:NM_006343-2	557,6	63,9	0,11
chr2	112702452	112702698	MERTK:NM_006343-3	529,8	37,4	0,07
chr2	112704897	112705210	MERTK:NM_006343-4	516,2	102,4	0,20
chr2	112722687	112722952	MERTK:NM_006343-5	479,9	84,0	0,18
chr2	112725697	112725900	MERTK:NM_006343-6	470,5	91,0	0,19
chr2	112732792	112733138	MERTK:NM_006343-7	529,3	70,6	0,13
chr2	112740337	112740654	MERTK:NM_006343-8	569,2	65,2	0,11
chr2	112751752	112752072	MERTK:NM_006343-9	502,5	60,7	0,12
chr2	112754827	112755141	MERTK:NM_006343-10	514,5	57,7	0,11
chr2	112758697	112758945	MERTK:NM_006343-11	508,3	50,3	0,10
chr2	112760597	112760828	MERTK:NM_006343-12	599,8	96,9	0,16
chr2	112761407	112761654	MERTK:NM_006343-13	541,4	49,6	0,09
chr2	112765877	112766141	MERTK:NM_006343-14	523,7	76,0	0,15
chr2	112767442	112767727	MERTK:NM_006343-15	542,3	36,4	0,07
chr2	112776917	112777166	MERTK:NM_006343-16	524,8	70,0	0,13
chr2	112778917	112779250	MERTK:NM_006343-17	509,9	76,1	0,15
chr2	112779752	112780048	MERTK:NM_006343-18	491,5	58,7	0,12
chr2	112785857	112786592	MERTK:NM_006343-19,1	556,8	27,4	0,05
chr2	112786617	112787030	MERTK:NM_006343-19,2	570,8	32,5	0,06
chr2	179316092	179316572	DFNB59:NM_001042702-1	557,5	57,5	0,10
chr2	179318037	179318435	DFNB59:NM_001042702-2	474,5	50,0	0,11
chr2	179318987	179319332	DFNB59:NM_001042702-3	499,4	99,7	0,20
chr2	179320652	179320934	DFNB59:NM_001042702-4	529,6	62,0	0,12
chr2	179323152	179323224	DFNB59:NM_001042702-5,1	446,0	43,7	0,10
